return,normalized_return,success,progress,violations,switches,retries,unnecessary_switches,unnecessary_retries,expected_regret,recovery_lag,task,condition,episodes,controller_ms,latency_s,prompt_tokens,completion_tokens,errors,advice_agreement
6.416666666666667,0.35648148148148145,1.0,5.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,resources,alone,9,0.11822994727279162,1.2049243549829245,1032.4444444444443,6.0,0,0.0
7.636666666666667,0.4242592592592593,0.6666666666666666,4.666666666666667,0.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,resources,simple,9,0.16365279669925156,1.316274069423714,1037.888888888889,6.0,0,0.3333333333333333
7.7922222222222235,0.43290123456790125,0.7777777777777778,4.777777777777778,0.2222222222222222,2.111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,resources,random,9,0.6543310193120744,0.9900415046118993,1037.962962962963,6.0,0,0.3333333333333333
7.636666666666666,0.4242592592592593,0.6666666666666666,4.666666666666667,0.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,resources,fly,9,0.5918943336130016,1.049769250740711,1037.8333333333333,6.0,0,0.3148148148148148
7.786666666666668,0.43259259259259264,0.8888888888888888,4.888888888888889,0.1111111111111111,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,resources,rewired,9,0.7197677758220514,1.3515710053492243,1038.0555555555557,6.0,0,0.3333333333333333
7.785555555555557,0.4325308641975309,0.8888888888888888,4.666666666666667,0.1111111111111111,1.5555555555555556,0.0,0.0,0.0,0.0,0.16666666666666666,resources,fly_reset,9,0.6696851859386597,1.5048175323317992,1037.9444444444443,6.0,0,0.35185185185185186
6.416666666666667,0.35648148148148145,1.0,5.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,resources,fly_disconnected,9,0.6677862962802734,1.2691502554279632,1032.4444444444443,6.0,0,0.0
-0.4666666666666665,-0.04320987654320986,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,7.381666666666667,2.1666666666666665,tools,alone,9,0.10255716430644195,1.138679674295687,1030.3333333333333,6.0,0,0.0
-0.16666666666666638,-0.01543209876543208,0.0,1.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,7.941666666666666,2.0,tools,simple,9,0.12776083356045462,1.1815744344812291,1035.888888888889,6.0,0,0.05555555555555555
-0.16666666666666638,-0.015432098765432075,0.0,1.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,7.941666666666666,2.0,tools,random,9,0.6561458511795435,1.1688689298332773,1035.8703703703704,6.0,0,0.05555555555555555
